ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
51	2,6,1,3,1,1,4,1,1,3	23,31,17,30,27,10,17,26,21,17	7,2,2,2,2,0,0,0,5,7	14,26,17,14,19,25,27,11,9,16	565	75
52	38,31,48,42,28,25,34,13,17,14	41,39,56,42,55,38,23,37,38,50	42,29,15,35,55,25,33,20,22,18	69,40,49,39,65,39,60,27,62,52	631	75
53	1,0,0,0,0,0,0,0,1,0	12,13,13,8,12,8,7,11,9,11	1,1,0,0,0,0,3,0,0,0	10,4,6,7,18,11,13,13,8,7	459	75
54	5,7,13,9,12,6,4,7,3,8	376,387,421,447,434,397,343,375,348,429	5,15,9,7,10,1,8,3,9,8	393,395,420,433,385,345,451,353,390,393	280	75
55	4,5,8,4,5,5,3,5,8,9	220,256,255,232,206,232,185,203,219,251	6,4,0,5,4,5,7,8,9,6	220,235,252,249,224,210,282,244,260,265	160	75
56	0,0,0,0,0,0,0,0,0,0	221,251,284,249,258,150,164,192,203,222	0,0,0,0,1,0,0,0,0,0	244,230,156,189,280,244,265,181,189,115	155	75
57	1,0,0,0,1,1,1,1,0,2	183,172,176,166,148,131,111,134,129,121	1,0,1,0,5,1,0,1,0,1	166,131,118,132,166,159,198,132,144,81	283	75
58	0,0,1,1,0,0,0,3,1,1	22,15,22,22,19,14,14,15,13,20	1,2,5,2,0,0,1,0,0,6	12,11,13,14,16,19,8,13,13,9	221	75
60	4,1,11,11,9,7,5,2,4,3	27,28,27,32,21,19,29,28,15,25	12,2,2,2,7,4,6,3,7,3	22,22,10,27,25,29,21,29,30,24	1025	75
61	1,1,1,1,0,0,2,0,2,1	26,24,20,19,24,12,24,34,27,22	1,0,0,1,0,0,1,0,0,4	29,22,22,34,23,28,21,16,22,11	148	75
62	2,4,4,6,6,3,2,3,2,3	0,2,0,0,0,0,0,0,0,2	5,1,5,1,4,3,2,0,7,5	0,0,0,0,0,0,0,0,1,0	168	75
63	59,65,57,84,61,63,51,59,54,80	0,1,0,1,0,0,1,0,2,1	67,41,64,50,81,77,97,56,85,66	0,2,0,0,0,0,2,0,0,0	169	75
64	5,3,3,3,2,1,2,5,2,3	5,6,9,10,1,6,3,3,3,5	2,0,1,3,3,1,4,4,7,3	3,4,5,1,5,4,3,4,8,7	1257	75
66	3,4,0,3,0,1,2,1,2,3	32,39,31,33,38,26,20,26,30,35	3,0,1,0,3,1,1,1,3,1	32,32,41,33,39,33,36,27,23,17	279	75
67	6,13,9,15,12,10,11,9,9,7	0,0,0,2,1,1,0,1,0,1	10,8,12,4,20,9,9,7,19,9	1,1,0,0,0,0,3,0,1,0	2205	75
69	0,0,0,1,0,0,1,1,0,0	2,0,0,0,3,3,0,5,1,1	0,0,0,0,0,1,0,0,0,0	2,2,3,1,1,0,1,2,2,2	155	75
70	0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,3	1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,1,0	173	75
71	1,0,2,0,0,1,2,0,0,0	1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,2,0,0,0,0	0,0,0,1,1,0,0,0,0,0	147	75
72	11,19,16,10,23,22,5,9,16,20	6,5,8,7,3,13,2,7,8,7	22,12,10,11,20,14,19,16,17,19	7,3,0,9,5,6,5,4,8,4	203	75
74	4,3,6,6,3,7,0,3,9,3	24,19,31,22,19,11,18,27,19,23	8,8,13,6,3,3,6,11,6,1	26,25,17,25,19,21,25,19,26,29	823	75
77	2,5,3,4,3,1,4,4,5,2	103,136,122,131,99,104,105,99,86,142	3,1,1,0,5,2,0,1,5,5	115,127,135,144,131,125,135,119,151,143	530	75
79	0,0,0,2,0,0,0,0,0,0	2,1,2,1,2,2,2,1,0,0	0,0,0,0,0,0,0,0,0,3	4,3,0,2,4,2,0,1,1,2	159	75
80	1,0,0,2,0,0,3,4,2,0	1,0,1,1,2,2,2,2,0,0	1,2,1,1,1,0,0,2,3,0	1,1,1,1,3,2,0,1,2,2	287	75
82	3,1,0,2,0,1,2,2,1,2	1096,1188,1256,1275,1154,1412,1145,1336,1233,1419	2,3,0,2,1,0,1,4,5,2	1129,1145,1248,1254,1274,1185,1381,1182,1474,1632	832	75
83	0,1,0,0,0,1,2,0,1,0	6,5,3,2,4,7,2,3,5,4	0,1,0,0,1,0,1,0,0,0	3,2,4,8,5,2,5,4,2,0	202	75
84	0,1,0,0,1,0,0,0,0,0	9,12,6,13,8,12,10,3,4,9	1,1,0,2,1,0,0,0,2,0	2,6,6,6,9,6,9,5,5,6	180	75
85	28,23,17,31,20,18,22,23,24,17	4,1,3,1,0,4,0,3,1,3	19,15,25,26,41,20,21,31,21,31	2,2,0,2,1,1,3,1,2,3	246	75
86	0,0,1,1,1,0,0,0,2,0	19,17,19,30,18,15,22,27,15,35	1,0,2,1,0,1,2,1,0,1	20,21,23,20,25,18,27,29,36,39	241	75
87	1,0,1,2,0,0,3,1,1,0	22,33,24,23,21,20,22,22,17,31	0,4,1,0,0,0,1,0,2,0	33,22,24,29,29,20,32,28,25,45	190	75
88	5,5,8,7,4,18,14,14,10,14	0,0,0,0,0,0,1,1,0,0	5,8,15,12,6,6,7,7,15,15	0,0,0,0,0,0,1,0,0,0	221	75
90	0,4,3,0,0,0,0,2,1,0	39,28,33,44,50,24,32,26,24,47	1,0,1,0,0,0,1,0,0,0	48,36,39,33,38,39,41,36,41,40	413	75
94	1,0,0,0,0,0,0,1,0,0	8,2,4,3,5,3,2,3,4,7	0,0,0,3,0,0,0,0,0,0	3,2,2,7,3,5,6,1,7,1	173	75
95	11,8,8,10,9,3,8,9,11,4	9,7,7,10,9,1,9,7,9,9	7,11,7,1,8,8,4,3,6,19	8,8,8,4,6,10,13,10,5,8	443	75
96	15,20,18,16,16,19,18,21,16,29	3,4,1,1,4,1,1,3,0,2	16,21,18,18,15,23,24,14,19,22	4,0,4,1,1,4,4,6,1,2	189	75
97	4,1,6,1,3,4,1,6,3,5	99,130,91,107,76,96,74,101,93,122	4,1,1,4,4,2,2,2,0,2	114,93,89,104,85,96,123,100,86,144	1075	75
98	37,26,37,38,27,37,23,32,44,59	3,1,1,2,1,2,2,0,1,2	45,35,30,37,44,31,49,58,33,41	1,1,1,1,0,0,1,1,1,0	1102	75
100	6,1,4,10,4,4,8,4,5,1	17,20,27,14,26,19,15,11,14,13	5,6,7,8,4,0,5,6,5,3	11,9,19,31,20,16,15,17,18,15	335	75
101	4,4,4,9,8,4,10,5,1,6	142,158,172,197,145,198,152,194,178,200	5,4,2,7,9,7,11,3,10,10	179,184,171,178,178,174,217,183,193,211	705	75
102	1,1,3,3,1,1,0,0,0,2	125,135,156,120,117,160,134,169,119,165	1,2,0,0,0,0,1,2,1,3	127,136,175,158,162,138,175,131,147,169	178	75
103	2,3,1,1,2,0,1,3,1,2	19,26,22,40,21,29,17,13,27,20	2,0,1,0,3,0,1,1,6,1	19,22,14,37,32,26,37,26,29,26	263	75
104	2,4,2,6,3,2,4,2,5,3	26,23,23,17,30,19,16,25,26,28	4,3,7,6,6,4,5,4,4,8	20,22,14,23,31,16,23,22,36,20	250	75
105	3,6,7,8,2,2,10,9,4,6	30,20,20,21,28,35,13,23,20,25	10,5,4,3,10,3,4,3,6,12	11,14,17,16,23,18,25,16,24,27	315	75
106	2,6,7,7,2,2,10,9,3,4	0,0,0,0,0,0,0,0,0,1	5,5,4,2,8,2,4,3,6,11	0,0,0,0,0,0,0,0,0,0	217	75
107	5,3,2,5,2,6,5,5,2,3	22,19,26,19,25,26,19,22,14,29	4,3,2,4,7,0,1,2,3,3	24,21,26,17,21,15,21,21,31,38	211	75
108	61,40,45,45,42,41,42,38,55,33	4,1,2,3,3,0,2,3,5,5	37,54,53,48,67,51,50,27,26,39	4,5,4,3,6,2,3,3,1,3	198	75
109	1,0,2,1,0,1,0,0,1,4	6,9,4,4,5,0,0,7,4,4	1,0,2,0,3,2,2,1,3,3	3,4,2,5,7,1,1,3,5,9	406	75
110	0,0,0,0,0,0,0,0,0,0	3,5,3,4,5,4,4,8,1,5	0,0,0,0,0,0,0,0,2,0	2,7,7,3,2,6,2,4,8,3	159	75
111	1,2,3,1,1,2,2,4,2,2	68,60,66,76,76,71,71,72,58,75	0,1,2,2,2,0,4,2,6,4	76,82,58,65,73,61,68,57,85,87	153	75
112	243,239,247,264,236,289,276,249,260,291	8,8,4,7,10,7,5,7,5,6	243,286,279,283,241,264,283,274,329,344	7,4,3,12,5,11,2,10,5,5	189	75
113	3,4,5,11,7,7,4,3,3,10	298,365,379,408,329,419,357,362,349,422	4,6,2,2,6,1,9,4,4,3	394,381,378,415,385,422,391,355,441,490	738	75
114	85,105,119,118,95,67,89,122,96,113	2,1,0,1,1,0,0,2,1,1	92,88,89,110,119,106,122,127,114,99	1,1,0,0,0,1,4,0,1,0	437	75
115	9,9,7,6,6,5,3,6,12,5	92,105,91,130,80,98,88,81,92,105	11,3,2,0,3,6,4,3,6,8	98,86,101,80,89,102,92,77,112,104	481	75
116	3,2,0,0,1,0,0,2,1,0	28,39,32,31,23,32,29,36,31,26	0,0,0,3,0,1,3,1,1,3	26,30,29,26,31,20,34,27,34,37	305	75
