ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
383	1,1,4,2,2,3,2,0,0,3	5,4,6,1,5,3,5,8,2,1	3,3,3,3,2,4,2,3,2,2	3,6,3,7,2,3,3,3,4,4	150	75
384	1,4,3,5,5,1,3,3,0,4	3,2,4,5,2,4,0,2,1,6	5,3,3,2,6,2,3,0,2,4	4,4,2,5,8,2,2,1,4,5	150	75
387	0,0,0,0,0,0,2,0,0,0	0,0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,1,0,0	150	75
392	13,13,18,19,18,19,3,7,1,18	4,13,25,8,11,11,14,8,10,14	14,11,9,10,13,7,11,8,18,13	18,7,12,11,6,12,11,7,13,8	147	75
394	3,0,2,4,2,0,2,1,0,9	292,306,283,309,273,355,249,283,243,335	1,1,2,0,0,2,1,2,0,4	284,351,270,284,266,273,325,248,305,361	150	75
396	1,2,1,3,1,2,1,1,2,2	19,20,26,25,28,21,20,28,20,14	0,1,0,0,4,2,0,1,0,1	19,13,13,9,16,15,26,20,17,13	150	75
397	1,1,3,4,3,2,0,4,1,4	19,28,41,37,26,54,26,29,32,39	6,4,0,2,1,0,2,2,8,7	34,27,36,25,35,29,44,15,53,42	150	75
398	1,1,0,3,4,1,1,3,5,2	0,0,0,0,0,0,0,0,1,0	3,1,0,2,1,1,1,2,2,4	1,0,0,0,0,0,0,0,0,0	150	75
404	6,10,15,8,9,2,10,11,5,12	0,1,3,0,0,0,0,0,2,0	5,8,9,7,10,8,13,9,8,16	0,1,0,0,0,0,1,0,1,0	150	75
405	0,0,0,0,0,0,1,1,0,0	18,16,19,28,15,12,15,16,15,16	0,0,0,0,0,1,1,1,0,0	21,22,13,13,26,9,25,18,17,19	150	75
406	7,3,3,4,4,7,5,5,2,18	12,27,14,30,13,19,17,15,24,23	3,2,1,0,10,7,3,3,1,2	21,21,20,27,20,22,19,27,15,11	150	75
407	22,24,27,27,29,32,18,25,17,33	17,21,21,23,19,15,21,12,34,20	28,16,20,14,20,24,22,14,15,25	13,20,19,15,22,23,21,26,18,19	150	75
408	29,27,30,29,31,38,24,28,20,34	8,5,6,4,4,2,3,3,3,1	29,22,21,16,26,27,28,17,16,27	3,6,5,7,7,5,6,6,3,4	150	75
409	39,48,35,52,47,41,34,53,42,51	3,2,5,1,1,2,1,2,1,3	54,46,54,40,58,45,38,43,43,54	1,0,1,0,0,2,2,1,2,2	150	75
410	0,1,0,0,0,0,0,0,0,0	21,20,22,35,13,7,14,15,10,15	0,0,0,0,3,0,0,0,0,0	20,19,22,19,27,17,26,8,14,6	150	75
411	2,2,0,5,4,0,2,1,1,5	43,39,49,37,50,54,26,33,40,43	3,3,3,1,3,0,2,3,4,2	45,42,38,42,35,28,42,46,62,44	150	75
412	0,2,0,0,2,0,0,1,2,0	26,36,30,32,24,21,40,29,22,44	1,2,0,0,0,0,1,0,0,1	21,34,19,29,30,28,29,33,32,34	150	75
413	11,11,6,12,10,8,11,13,5,12	6,9,11,10,12,11,16,10,8,7	9,9,8,5,11,10,11,8,12,15	12,6,3,14,16,10,6,6,7,10	150	75
414	2,1,5,5,4,3,1,2,1,1	6,13,8,12,9,14,4,12,7,11	0,2,2,2,2,2,1,3,7,1	10,14,11,10,7,8,13,15,20,11	150	75
417	0,0,0,0,0,0,0,0,0,0	0,0,0,1,1,1,0,0,0,0	0,0,0,0,1,0,0,0,0,0	0,0,0,1,1,0,1,0,0,2	150	75
419	1,0,2,0,0,0,0,2,0,0	14,19,23,20,30,30,18,17,24,14	0,0,1,1,1,1,0,0,0,0	23,25,9,18,22,18,21,10,15,18	150	75
420	1,0,0,0,1,0,3,2,1,0	1,0,0,0,0,0,0,0,0,1	1,0,0,2,1,0,0,1,1,0	0,0,0,0,0,0,0,1,0,0	150	75
421	0,1,1,1,1,2,0,0,0,0	14,15,13,17,16,28,13,16,20,27	1,0,0,0,1,0,0,0,0,0	19,22,24,14,18,14,21,18,25,30	150	75
422	0,1,1,0,1,1,0,0,0,0	1,0,0,0,0,1,0,0,0,0	0,0,0,0,1,0,0,0,0,0	0,0,0,0,3,1,1,0,0,0	150	75
423	5,6,5,13,6,7,2,8,4,6	0,0,1,0,0,0,0,0,2,0	3,4,0,3,8,2,6,3,11,20	0,0,0,0,0,0,0,0,0,0	150	75
424	2,1,1,2,1,1,2,3,0,0	27,25,25,28,27,27,25,23,26,31	3,1,0,3,0,2,2,0,1,1	24,26,30,15,39,29,24,26,35,28	150	75
425	2,2,2,4,3,0,3,2,0,3	37,49,43,50,37,49,39,41,49,51	1,1,1,2,2,2,0,1,5,4	48,46,43,37,57,46,54,38,36,51	150	75
426	1,3,0,3,4,1,0,2,1,2	237,272,250,312,249,259,226,252,258,255	2,1,0,1,0,0,2,0,1,2	260,244,213,233,258,275,267,242,333,270	150	75
431	10,9,10,18,12,7,12,12,11,14	12,12,6,9,3,13,6,6,8,5	20,8,6,9,15,16,15,17,12,13	17,9,6,10,8,9,8,5,13,6	150	75
432	2,5,3,5,3,2,0,3,3,4	94,108,120,106,85,126,98,107,107,126	1,1,4,5,2,3,1,2,9,8	123,111,118,112,151,121,115,100,122,120	150	75
