Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000067274.10,3545.9398788672725,-0.6154947879809465,0.10253344721436866,-6.002868378102217,1.938617704667081e-09,2.2305181419126675e-06
ENSMUSG00000041548.4,375.2713964315905,-1.197139234689493,0.26718578936179704,-4.480549798509094,7.445100576768111e-06,0.003211230065072491
ENSMUSG00000053368.13,53.13809746295296,0.5998626027203847,0.14480838629416773,4.142457616382847,3.436038815228341e-05,0.008862791989941818
ENSMUSG00000004655.5,53.70735894241784,-1.6020857390663497,0.40257803064954095,-3.979565741532042,6.904126649029521e-05,0.013083726125007944
ENSMUSG00000005892.4,121.8019933699848,-1.9300349817661309,0.3919009540664826,-4.9248029680446175,8.444539857838003e-07,0.0005914115131741502
ENSMUSG00000110206.1,22.965933193988427,-0.6702241942445744,0.18601010355562803,-3.6031601586853457,0.0003143716880696352,0.03208336898118401
ENSMUSG00000025723.12,51.40989862195984,-1.280684589491284,0.350404451207626,-3.6548753449836657,0.00025730696737839533,0.02996546540058054
ENSMUSG00000052305.6,2338.694753539621,-0.5801145482247942,0.15339789505064813,-3.7817634201124797,0.00015572132122635438,0.022197867631098375
ENSMUSG00000007279.14,36.00624415558679,-0.6288923224344615,0.17699659052701391,-3.5531324109798454,0.00038067280267717525,0.035430538450903985
ENSMUSG00000000214.11,240.06556570951716,-1.5734471063660893,0.3574087837312587,-4.402373914652274,1.0707281657188645e-05,0.003919838475772606
ENSMUSG00000063696.7,259.094908186038,4.130990449653135,0.8898950138467809,4.642109895408847,3.448693406994225e-06,0.0017178705332483082
ENSMUSG00000031727.8,14.909075304381384,0.8043673574061936,0.21758718826059215,3.696758820389954,0.00021836961755094804,0.027696833067013156
ENSMUSG00000003657.9,892.6263274951041,-0.9412757244780372,0.22535557194307404,-4.176846910693684,2.955778109436598e-05,0.008761870025695444
ENSMUSG00000025316.16,744.7288869875531,0.5834431053741208,0.13984319347408602,4.172123725723106,3.017736863017059e-05,0.008761870025695444
ENSMUSG00000006362.16,1292.5208108338409,0.5390190387672896,0.15510489495898228,3.4751903794514933,0.0005104909179779637,0.0418837746634643
ENSMUSG00000019866.15,53.12867899963969,-0.5056333335523392,0.14518670282851193,-3.4826421683366604,0.0004964915173420362,0.0411396635108398
ENSMUSG00000012819.15,34.48762160652996,-0.5598253516136305,0.15575700157336367,-3.59422270561587,0.00032536145263462924,0.0327557642439913
ENSMUSG00000020140.15,118.66860555710439,-0.9365280867299483,0.25719167737903154,-3.641362334403057,0.000271199132313241,0.030548780582529272
ENSMUSG00000069919.7,888.5188093671968,-0.6114105004881439,0.16826303320128774,-3.6336590922899443,0.000279430015873575,0.031041784108217563
ENSMUSG00000069917.7,598.4289064522195,-0.6533229356107061,0.1691917859101664,-3.8614341239804197,0.00011272340720519259,0.01797770933922022
ENSMUSG00000069911.11,64.6359813221166,-0.8959870590252119,0.2421870919297967,-3.6995657030513156,0.0002159687250946548,0.027696833067013156
ENSMUSG00000084020.3,131.51453214750177,3.8178892688207493,0.6676230199835587,5.718630356566751,1.0738611712535644e-08,9.609864303640231e-06
ENSMUSG00000001444.2,35.41891101388026,-1.845292307687719,0.5111337073922203,-3.610194907908367,0.0003059670028463105,0.03208336898118401
ENSMUSG00000020732.13,73.54914048641808,-0.8605642355802745,0.24273787019360146,-3.5452409419836743,0.00039225435235818097,0.03610533204448902
ENSMUSG00000045288.10,54.51593558252031,-0.8898259426569685,0.23951747966621267,-3.7150772624069615,0.00020314161497056967,0.026821353556933904
ENSMUSG00000011171.11,42.870107445510975,-1.1130205787284198,0.27118067127962114,-4.10435070271198,4.054520072596893e-05,0.009694473544269075
ENSMUSG00000048562.7,118.59578263189357,-1.01807532054106,0.290498236476014,-3.5045834800622644,0.00045732216402003824,0.03918375222358924
ENSMUSG00000021214.14,29.56974353641317,-0.5777861908842609,0.16036743661134198,-3.6028897330606644,0.00031469905010101024,0.03208336898118401
ENSMUSG00000021337.8,32.01027931832452,-2.281004527588905,0.5126263194192028,-4.449643807156147,8.601282102549658e-06,0.003298796478758807
ENSMUSG00000100235.8,13.751575660493142,-0.8165692996557149,0.23171967746103492,-3.523953203296798,0.0004251593304181866,0.03751084835352818
ENSMUSG00000097906.1,118.04455470277021,1.9873032821048124,0.3959606370648228,5.018941521147898,5.195696181779136e-07,0.0003985346385528492
ENSMUSG00000021609.6,14.59107418556653,-1.711058433406593,0.3793929206714907,-4.509990408830445,6.4830556805169205e-06,0.0029008072472712933
ENSMUSG00000071550.14,36.88913808007876,-0.5560036920188731,0.15386644106996858,-3.6135474906190774,0.0003020360030493776,0.03208336898118401
ENSMUSG00000036492.12,254.59209771877622,0.5669026033560112,0.14556059028885965,3.894615996204836,9.835441742573738e-05,0.016002959150442198
ENSMUSG00000024871.11,162.278051787945,-1.9542575719055906,0.530032861563906,-3.687049829588662,0.00022686894556689954,0.028110807501473982
ENSMUSG00000036131.12,44.51962981237962,-1.6596106378963782,0.44980895126255294,-3.689590065377924,0.00022461569875246767,0.028047361825618213
ENSMUSG00000025270.13,194.8335043203623,-0.7057374087423672,0.16956736154885094,-4.161988500004172,3.154882427926097e-05,0.008761870025695444
