ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
143	3,5,2,2,1,4,3,6,1,1	0,1,0,1,0,2,0,1,0,1	2,3,1,3,0,2,2,1,1,1	0,0,0,3,0,0,0,0,0,0	150	75
147	1,1,2,7,1,1,5,9,0,5	0,0,0,0,0,0,0,0,0,0	6,3,0,6,4,4,3,3,6,7	0,0,0,0,0,0,0,1,0,0	150	75
148	2,1,2,4,0,3,9,5,1,4	10,4,9,7,7,6,7,1,8,9	6,2,3,2,4,4,5,2,6,2	5,5,3,3,11,5,5,2,10,8	101	75
149	21,14,13,14,21,21,14,17,19,26	30,24,22,21,29,22,19,18,24,26	24,32,17,20,20,34,15,20,13,19	32,18,13,23,28,25,20,29,14,21	86	75
150	7,4,5,5,12,4,7,5,10,6	0,1,0,1,0,0,1,0,0,1	8,5,2,4,5,13,5,7,6,2	0,3,0,0,0,1,1,0,0,0	86	75
151	46,52,54,36,50,35,31,26,45,43	1,1,4,0,3,3,0,1,1,2	46,49,31,39,50,38,46,35,36,42	0,0,1,2,2,2,2,1,0,2	150	75
153	0,0,1,1,1,1,0,1,1,0	129,120,131,90,95,103,101,91,107,93	1,1,1,2,1,2,2,1,2,1	110,96,113,107,131,97,119,105,99,84	90	75
154	87,88,87,62,67,83,69,66,77,90	1,0,0,0,0,0,0,0,0,0	79,78,80,68,84,68,80,68,70,99	0,0,0,0,0,0,0,1,0,0	93	75
155	0,0,0,0,0,0,1,2,0,0	81,78,103,87,58,98,95,63,69,64	0,0,0,0,0,0,0,0,0,0	80,94,105,67,92,62,62,62,85,72	84	75
157	37,30,29,35,27,26,34,35,21,25	5,4,1,2,5,1,2,2,1,1	34,18,30,32,25,41,27,24,38,25	1,8,0,0,0,2,7,5,1,2	150	75
159	0,1,0,0,0,0,0,0,1,0	20,19,22,16,8,16,21,11,11,16	0,0,0,2,0,1,0,0,1,0	14,27,15,14,13,19,14,9,13,16	127	75
160	5,8,2,4,4,9,5,5,4,12	2,0,2,1,1,0,0,1,2,3	5,7,6,4,6,5,11,5,9,6	1,0,0,1,2,2,0,3,1,0	98	75
